92201.01.051;Корпус;Сталь 40Х ф155_1221550000;Сталь 40Х;155;1 004;102;3;1;335;1;3
92201.01.081;Корпус;Сталь 40Х ф155_1221550000;Сталь 40Х;155;1 004;97;3;1;335;1;3
92300.01.032;Корпус;Сталь 40ХН D130 22;Сталь 40ХН;130;1 210;0;2;1;605;1;2
92300.01.034;Корпус;Сталь 40ХН ф150_1266660000;Сталь 40ХН;150;1 210;0;2;1;605;1;2
92300.01.042;Корпус;Сталь 40ХН ф150_1266660000;Сталь 40ХН;150;1 210;0;2;1;605;1;2
92201.01.071;Корпус;Сталь 40Х ф145_1229102000;Сталь 40Х;145;1 004;93;3;1;335;1;3
92300.01.023;Корпус;Сталь 40ХН D130 22;Сталь 40ХН;130;1 120;0;2;1;560;1;2
92300.01.022;Корпус;Сталь 40ХН ф125_1230000000;Сталь 40ХН;125;1 120;0;2;1;560;1;2
92300.01.021;Корпус;Сталь 40ХН D110 22;Сталь 40ХН D110 22;110;1 120;0;2;1;560;1;2
86301.004;Корпус;Сталь 40Х ф220_1282000000;Сталь 40Х;220;1 150;0;2;1;575;1;2
92201.02.121;Корпус;Сталь 20Х ф150_1225500000;Сталь 20Х;150;794;97;3;1;265;1;3
92101.01.011;Корпус;Сталь 40Х ф100_1241000000;Сталь 40Х;100;923;60;3;1;308;1;3
92101.01.021;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;755;93;3;1;252;1;3
92101.01.031;Корпус;Сталь 40Х ф135_1229200000;Сталь 40Х;135;983;93;3;1;328;1;3
92201.02.111;Корпус;Сталь 20Х ф 175;Сталь 20Х;175;794;123;3;1;265;1;3
86401.123;Колокол КС 132;Сталь 20Х ф180_1224000000;Сталь 20Х;180;1 097;105;2;1;549;1;2
92201.01.021;Корпус;Сталь 40Х ф135_1229200000;Сталь 40Х;135;1 004;80;3;1;335;1;3
92201.02.051;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;794;86;3;1;265;1;3
92201.01.041;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;1 004;93;3;1;335;1;3
96500.01.011;Фрезер;Сталь 38ХГМ ф115_1294081000;Сталь 38ХГМ;115;1 020;35;2;1;510;1;2
96500.01.021;Удлинитель;Сталь 38ХГМ ф115_1294081000;Сталь 38ХГМ;115;868;35;2;1;434;1;2
96500.02.011;Фрезер;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;1 035;35;2;1;518;1;2
96500.02.021;Удлинитель;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;886;35;2;1;443;1;2
96500.03.021;Удлинитель;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 187;60;2;1;594;1;2
90501.00.039;Пилот;Сталь 40Х ф120_1215500000;Сталь 40Х;120;840;32;2;1;420;1;2
90501.00.038;Корпус;Сталь 40Х ф220_1282000000;Сталь 40Х;220;1 285;78;4;1;321;1;4
86401.126;Колокол КС 110;Сталь 20Х ф140_1263360000;Сталь 20Х;140;1 048;80;2;1;524;1;2
92201.01.131;Корпус;Сталь 40Х ф105_1225440000;Сталь 40Х;105;944;56;3;1;315;1;3
92201.02.211;Корпус;Сталь 20Х ф120_1279120000;Сталь 20Х;120;794;73;3;1;265;1;3
92101.01.051;Корпус;Сталь 20Х ф105_1257105000;Сталь 20Х;105;770;70;3;1;257;1;3
92101.01.061;Корпус;Сталь 20Х ф115_1279000000;Сталь 20Х;115;770;78;3;1;257;1;3
92101.01.083;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;983;100;3;1;328;1;3
92101.01.093;Корпус;Сталь 40Х ф125_1215600000;Сталь 40Х;125;983;75;3;1;328;1;3
92101.01.073;Корпус;Сталь 40Х ф125_1215600000;Сталь 40Х;125;983;70;3;1;328;1;3
92101.01.101;Корпус;Сталь 40Х ф130_1251000000;Сталь 40Х;130;983;86;3;1;328;1;3
92201.02.221;Корпус;Сталь 20Х ф230_1209300000;Сталь 20Х;230;804;138;3;1;268;1;3
86321.011;Корпус;Сталь 38ХГМ ф115_1294081000;Сталь 38ХГМ;115;1 008;20;2;1;504;1;2
86321.021;Корпус;Сталь 38ХГМ ф130_1294080000;Сталь 38ХГМ;130;975;15;2;1;488;1;2
92201.02.231;Корпус;Сталь 20Х ф310_1221300000;Сталь 20Х;310;830;138;3;1;277;1;3
92300.01.024;Корпус;Сталь 40ХН ф135_220008000О;Сталь 40ХН;135;1 120;0;2;1;560;1;2
92300.01.033;Корпус;Сталь 40ХН ф135_220008000О;Сталь 40ХН;135;1 210;0;2;1;605;1;2
92201.02.241;Корпус;Сталь 20Х ф160_1233330000;Сталь 20Х;160;794;110;3;1;265;1;3
92300.01.041;Корпус;Сталь 40ХН ф135_220008000О;Сталь 40ХН;135;1 210;0;2;1;605;1;2
92300.01.071;Корпус;Сталь 40ХН D130 22;Сталь 40ХН;130;1 201;56;2;1;601;1;2
92201.02.131;Корпус;Сталь 20Х ф145_1207400000;Сталь 20Х;145;794;102;3;1;265;1;3
86604.001;Метчик МСЗ-66;Сталь 20Х ф 90_1224100000;Сталь 20Х;90;580;14;2;1;290;1;2
86401.128;Колокол К105-90/122;Сталь 20Х ф135_1209913000;Сталь 20Х;135;1 017;40;2;1;509;1;2
86321.031;Корпус;Сталь 38ХГМ ф110_1212120000;Сталь 38ХГМ;110;700;14;2;1;350;1;2
86502.500.011;Патрубок;Сталь 20Х ф 90_1224100000;Сталь 20Х;90;1 227;70;2;1;614;1;2
86401.028;Колокол К80-55/114;Сталь 20Х ф125_1281000000;Сталь 20Х;125;1 307;40;2;1;654;1;2
86401.202;Колокол КС 260;Сталь 20Х ф 315;Сталь 20Х;315;1 030;138;2;1;515;1;2
86604.017;Метчик МСЗ-161;Сталь 20Х ф200_1219191000;Сталь 20Х;200;1 330;78;3;1;443;1;3
86401.608;Колокол КУ106-95/122;Сталь 20ХГНМ ф 135_1211600000;Сталь 20ХГНМ;135;947;40;2;1;474;1;2
91402.00.011-22;Корпус;Сталь 40ХН D130 22;Сталь 40ХН;130;825;0;2;1;413;1;2
91402.00.011-34;Корпус;Сталь 40ХН ф135_220008000О;Сталь 40ХН;135;825;0;2;1;413;1;2
92101.01.111;Корпус;Сталь 40Х ф100_1241000000;Сталь 40Х;100;923;58;3;1;308;1;3
92101.01.121;Корпус;Сталь 40Х ф130_1251000000;Сталь 40Х;130;983;86;3;1;328;1;3
86320.031;Корпус;Сталь 38ХГМ ф120_1211102000;Сталь 38ХГМ;120;1 310;32;2;1;655;1;2
86320.041;Корпус;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 356;32;2;1;678;1;2
92101.01.131;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;770;93;3;1;257;1;3
92101.01.141;Корпус;Сталь 20Х ф150_1225500000;Сталь 20Х;150;770;117;3;1;257;1;3
86401.007;Колокол К110-91/122;Сталь 20ХГНМ ф 135_1211600000;Сталь 20ХГНМ;135;1 007;64;2;1;504;1;2
92201.02.251;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;794;86;3;1;265;1;3
92201.02.261;Корпус;Сталь 20Х ф135_1209913000;Сталь 20Х;135;794;93;3;1;265;1;3
92201.02.271;Корпус;Сталь 20Х ф130_1225600000;Сталь 20Х;130;794;90;3;1;265;1;3
92201.02.281;Корпус;Сталь 20Х ф140_1263360000;Сталь 20Х;140;794;86;3;1;265;1;3
86501.420.001;Переводник;Сталь 38ХГМ ф100_1211103000;Сталь 38ХГМ;100;1 200;45;6;1;200;1;6
96500.04.011;Корпус;Сталь 38ХГМ ф135_1294083000;Сталь 38ХГМ;135;1 391;40;3;1;464;1;3
96500.04.021;Корпус;Сталь 38ХГМ ф135_1294083000;Сталь 38ХГМ;135;1 080;40;2;1;540;1;2
92201.01.151;Корпус;Сталь 40Х ф125_1215600000;Сталь 40Х;125;1 004;70;3;1;335;1;3
92201.01.161;Корпус;Сталь 40Х ф130_1251000000;Сталь 40Х;130;1 004;70;3;1;335;1;3
92001.01.061;Корпус;Сталь 40Х ф130_1251000000;Сталь 40Х;130;1 320;86;4;1;330;1;4
92001.01.071;Корпус;Сталь 40Х ф140_1225490000;Сталь 40Х;140;1 320;102;4;1;330;1;4
92001.01.091;Корпус;Сталь 40Х ф150_1229100000;Сталь 40Х;150;1 320;105;4;1;330;1;4
92001.01.081;Корпус;Сталь 20Х ф145_1207400000;Сталь 20Х;145;1 305;102;4;1;326;1;4
92001.01.051;Корпус;Сталь 40Х ф130_1251000000;Сталь 40Х;130;1 320;86;4;1;330;1;4
86321.051;Корпус;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 020;32;2;1;510;1;2
86321.061;Корпус;Сталь 38ХГМ ф140_1208080000;Сталь 38ХГМ;140;1 028;32;2;1;514;1;2
92300.01.051;Корпус;Сталь 40ХН D110 22;Сталь 40ХН D110 22;110;1 425;0;2;1;713;1;2
